,urn,author,title,year,lang
202,2014040724014,"Miller, Hagbert",Unionsperioden og Norges Gjenreisning,1906,nob
203,2011081920001,"Øverland, O.A.",Korstogenes Historie,1900,nob
204,2013070408142,"Sars, G.O.","Indberetninger til Departementet for det Indre fra Professor, Dr. G.O. Sars om de af ham i Aarene 1864-1878 anstillede Undersøgelser angaaende Saltvandsfiskerierne",1879,nob
205,2009031003031,"Einarsen, Einar","Begrebet ""Kapital"" i økonomien",1895,nob
206,2015112708083,"Sundt, Einar",Fredrikshalds handel og industri,1908,nob
207,2013102308003,"Rygh, O.",Om Helleristninger i Norge,1873,nob
208,2016011448108,"Falck, Hans L.",Telegraf Code for Rhedere og Skibsførere,1885,nob
209,2008102912002,"Asbjørnsen, P. Chr.","De tre Bjørne, eller Besøget i Bjørnestuen",1864,nob
210,2012080808003,"Christophersen, W. C.",Indberetninger til det Kongl. Udenrigs-Departement om Handels- og Søfartsforholdene i Australien,1873,nob
211,2015012208008,"Krag, Thomas P.",Ensomme Mennesker,1893,nob
212,2015063008128,"Balchen, Albert",Ministeriet Hagerup og unionspolitiken,1903,nob
213,2015042808052,"Mørland, J.","Om Bjørnstjerne Bjørnsons ""Arnljot Gelline""",1910,nob
214,2014111308090,,Af Forhøret ved Lagmandsretten i Sagen Mørch m.fl. contra Retvedt samt Dommen og nogle Bemærkninger angaaende Sagen,1894,nob
215,2015082548168,,"Præmietarifer vedtat i 20. norske sjøassurangemøte, juni 1904 og gjældende fra 1. januar 1905",1904,nob
216,2011103124024,"Støren, E.",Meldalen gjennem det 19de Aarhundrede,1902,nob
217,2009042803026,"Borchgrevink, H.K.",Glade Minder,1897,nob
218,2006112001015,"Martens, Nicolay",Skogliv,1906,nob
219,2009030403040,"Gløersen, Kn.",Kort Veiledning i Havedyrkning,1897,nob
220,2014031408031,"Reusch, Hans",Kortfattet geografi,1885,nob
221,2009091403003,"Wergeland, Henrik",Mennesket,1845,nob
222,2012073108177,"Dahle, H.C.",Plantrigonometri,1881,nob
223,2009011603017,"Hougen, J.",Anorganisk kemi i kortfattet fremstilling,1891,nob
224,2009101912001,"Munch, P.A.",Verdenshistoriens vigtigste Begivenheder,1840,nob
225,2013112608012,"Jæger, Henrik",Løse Fugle,1882,nob
226,2010081212003,"Townley, Hughton",Den tilslørede Dame,1899,nob
227,2015063008093,"Nielsen, Yngvar",Reisehaandbog over Buskeruds Amt,1888,nob
228,2012071208084,"Vogt, C.J.",Vore Underbefalsskoler,1887,nob
229,2013031108047,"Larsen, Hermann",Eksempelsamling til Indøvelse af den norske Grammatik,1877,nob
230,2006112001056,"Flood, Constantius",Udvalgte Fortællinger,1893,nob
231,2015102208315,"Guldberg, C.M.",Kortfattet Fremstilling af den mekaniske Varmetheori,1867,nob
232,2010031003073,"Magnus, Halfd.",Chronologisk-synchronistiske Tabeller over Historiens vigtigste Begivenheder,1852,nob
233,2010082723007,Margrethe,Doktorens børn,1898,nob
234,2010081312004,"White, James",Jesu herlige Aabenbarelse,1899,nob
235,2006112101055,"Andree, Karl",Verdenshandlens Geografi,1873,nob
236,2014111408013,"Wexels, W.A.",Udsigt over Jesu Christi Liv paa Jorden,1846,nob
237,2008040300041,"Irgens, Marie Stub","Ludvig Holberg i ""Bergens beskrivelse""",1906,nob
238,2008010410001,"Helseth, H.",lille Tarif,1820,nob
239,2015090906142,"Bang, Herman",Rundt i Norge,1892,nob
240,2014061848121,"Aubert, L.M.B.",norske obligationsrets almindelige del,1896,nob
241,2014061008123,"Nielsen, Yngvar",Kvægholdet i Norge 1657,1874,nob
242,2008100803003,"Auerbach, Berthold",Storbonden og hans Sønner,1858,nob
243,2015042808004,"Haukenæs, Th.S.",Gammel kultur,1898,nob
244,2014061828008,,[Hans Kongelige Høihed Kronprinds Oscar har skjænket Bergen By sit Portræt],1838,nob
245,2011101223002,"White, James Edson",kommende konge,1901,nob
246,2006112301028,"Keyser, R.",Norges Historie,1866,nob
247,2006111500026,"Færden, M.J.",Peter Hærems Liv og Virksomhed,1878,nob
248,2006112101056,"Bugge, Sophus",Studier over de nordiske Gude- og Heltesagns Oprindelse,1881,nob
249,2015090727002,"Scriver, Christian",Hjerte-Speilet,1860,nob
250,2016011907563,"Dehli, O.",Indberetning om arbeiderforhold og arbeiderlovgivning i England og De forenede stater,1893,nob
251,2006112101054,"Verne, Jules",Jordens Opdagelseshistorie,1883,nob
252,2014091608130,"Lie, J.",Lærebog i descriptiv Anatomie,1869,nob
253,2013090527033,,Katalog over Bakkestrandens ynglingeforenings bibliothek,1898,nob
254,2014082108067,"Wergeland, Henrik",Sange og viser,1898,nob
255,2011061605067,,Fortegnelse over matrikulerede Eiendomme og deres Skyld i,1890,nob
256,2016111748079,"Sue, Eugène",Milionæren,1896,nob
257,2006113000034,"Vogt, Nils",Fra far til datter,1910,nob
258,2009020500010,"Skonhoft-Halvorsen, Joh.",Mathematiske opgaver for latin og realgymnasiet,1886,nob
259,2016052008039,"Grimm, Jacob",Grimms eventyr,1897,nob
260,2009010503014,,Stemmeretssagen,1891,nob
